,Links,brands,iphih1,sizedetails,sizedetail,ipiBoxi
668,https://diza.gallery/product-1792/gray_top_Modam_Diza#25792246,"['', 'MODAM']","['سایز های محصول', 'مشخصات سایز']",['سایز : S\nقد از جلو : 52cm\nقد از پشت : 44cm\nسرشانه : 10cm\nفاصله بین دو زیر بغل : 45cm'],"['سایز : S', 'قد از جلو : 52cm', 'قد از پشت : 44cm', 'سرشانه : 10cm', 'فاصله بین دو زیر بغل : 45cm']",['جزئیات محصول\nاین تاپ از پارچه فلانل می باشد.']
669,https://diza.gallery/product-1794/white_top_StudioModam_Diza#2469421678,"['', 'MODAM']",['سایز های محصول'],None,None,['جزئیات محصول\nجنس این تاپ از پارچه گاباردین می باشد.']
670,https://diza.gallery/product-1795/green_polak_blazer_Diza#56890642,"['', 'mehrnoosh shahhosseini']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد : 60cm\nسرشانه : 34cm\nآستین : 33cm\nفاصله بین دو زیر بغل : 68cm'],"['سایز : FREE', 'قد : 60cm', 'سرشانه : 34cm', 'آستین : 33cm', 'فاصله بین دو زیر بغل : 68cm']",['جزئیات محصول\nاثری نفیس با دوخت با\u200c دوام. این کت پولک دوزی شده\u200cی شاه\u200cحسینی با طراحی خیره کننده خود تا سال ها شما را با کیفیت روز اول همراهی خواهد کرد.\nاین کت را با دیگر عناصر پوشش خود همراه کنید و استایلی مناسب موقعیت\u200cهای رسمی و نیمه\u200c رسمی داشته باشید.']
671,https://diza.gallery/product-1798/goharshad_white_blouse_OU_Diza#3245456789,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول']",None,None,None
672,https://diza.gallery/product-1798/goharshad_white_blouse_OU_Diza#3589835,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول']",None,None,None
673,https://diza.gallery/product-1799/geometric_croptop_Gownbad_Diza#464578246,"['', 'GONBAD']","['سایز های محصول', 'ناموجود!']",None,None,"['المانی اصیل و با هویت که از پارچه\u200cی قلمکار با\u200c چاپ دستی و ترکیب رنگی شگفت\u200cانگیز دوخته شده تا به سادگی در کنار دیگر عناصر استایلتان \u200cقرار بگیرد. پارچه\u200cهای نفیس و زیبایی\u200cشناسی سنتی ایران همراه هم شده و این اثر زیبا را پدید آورده\u200cاند.', 'جزئیات محصول\nپارچه\u200cی قلمکار با چاپ دستی.', 'توضیحات محصول\nگنبد سعی دارد با استفاده از دو المان سنتی -پارچه قلمکار و کلاه نمدی- هنر دستی قدیمی ایران را در قالبی مدرن ارائه کند.']"
674,https://diza.gallery/product-1800/sarvdokht_blouse_Ou_Diza#35896432,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول']",None,None,['مناسب سایز 36 تا 44']
675,https://diza.gallery/product-1800/sarvdokht_blouse_Ou_Diza#43680853,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول']",None,None,['مناسب سایز 36 تا 44']
676,https://diza.gallery/product-1801/dd101_clutch_Setipi_Diza#458063258,"['', 'SETIPI']","['سایز های محصول', 'ناموجود!']",None,None,None
677,https://diza.gallery/product-1802/beige_blazer_Naghmehkiomarsi_Diza#4543690421,"['', 'نغمه کیومرثی']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد : 60cm\nسرشانه : 12cm\nآستین : 57cm\nفاصله بین دو زیر بغل : 49cm'],"['سایز : FREE', 'قد : 60cm', 'سرشانه : 12cm', 'آستین : 57cm', 'فاصله بین دو زیر بغل : 49cm']","['این کت سیلک کوک دوزی شده با دست از مجموعه اورسی و با الهام از خطوط هندسی بکار رفته در درب و پنجره های اورسی طراحی شده است.', 'جزئیات محصول\nمناسب سایز 34 تا 40']"
678,https://diza.gallery/product-1804/bird_Scarf_Ou_Diza#324369941,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,None
679,https://diza.gallery/product-1804/bird_Scarf_Ou_Diza#435964210,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,None
680,https://diza.gallery/product-1806/purple_flower_scarf_Ze_Diza#324589421,"['', 'ز']",['سایز های محصول'],None,None,None
681,https://diza.gallery/product-1807/flowers_mantou_MehrnooshShahhosseini_Diza#547456821,"['', 'mehrnoosh shahhosseini']",['سایز های محصول'],None,None,None
682,https://diza.gallery/product-1808/long_vest_Ou_Diza#461153784,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,None
683,https://diza.gallery/product-1808/long_vest_Ou_Diza#86543190,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,None
684,https://diza.gallery/product-1810/long_necklace_Naghmehkiomarsi_Diza#578211479,"['', 'نغمه کیومرثی']","['سایز های محصول', 'ناموجود!']",None,None,None
